"idencuesta","c11_w01","c11_w03","c43_w05","c08_02_w01","c08_02_w02","c08_02_w03","c08_02_w04","c08_02_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_4"
1101011,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
1101012,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
1101013,1,1,1,2,2,3,1,1,1,1,2,1,1,"3"
1101021,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
1101023,2,1,2,2,1,1,3,3,1,1,1,2,2,"1"
1101032,2,2,1,1,1,1,2,1,1,1,1,1,1,"4"
1101033,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
1101053,1,2,1,4,1,1,5,4,2,1,1,2,2,"1"
1101081,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
1101103,2,2,2,1,2,1,1,1,1,1,1,1,1,"4"
1101132,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
1101133,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
1101151,1,2,2,1,1,4,3,1,1,1,2,2,1,"1"
1101152,1,1,1,2,1,1,3,1,1,1,1,2,1,"3"
1101153,2,2,2,2,1,1,1,1,1,1,1,1,1,"4"
1101171,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
1101173,1,2,2,2,1,1,4,4,1,1,1,2,2,"1"
1107011,2,1,2,1,3,2,1,1,1,2,1,1,1,"1"
1107012,2,1,2,1,2,1,1,1,1,1,1,1,1,"3"
1107021,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
1107082,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
2101043,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
2101062,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
2101071,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
2101072,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
2101081,2,2,2,4,3,3,4,1,2,2,2,2,1,"2"
2101082,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
2101083,1,2,2,1,1,1,3,1,1,1,1,2,1,"1"
2101092,1,2,2,3,3,2,1,1,2,2,1,1,1,"1"
2101102,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
2101113,1,1,2,1,1,1,1,1,1,1,1,1,1,"3"
2101141,2,2,2,3,3,3,3,2,2,2,2,2,1,"2"
2101142,2,2,2,3,1,3,1,1,2,1,2,1,1,"1"
2101143,2,2,2,2,1,1,1,3,1,1,1,1,2,"1"
2101151,2,2,2,3,2,2,5,2,2,1,1,2,1,"1"
2101152,2,2,2,1,1,3,3,1,1,1,2,2,1,"1"
2101162,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
2101163,2,2,1,1,1,3,3,1,1,1,2,2,1,"1"
2101172,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
2101173,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
2101181,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
2101191,1,1,2,1,1,1,3,3,1,1,1,2,2,"1"
2101192,2,1,2,1,1,3,3,1,1,1,2,2,1,"1"
2101193,1,2,2,2,1,1,3,1,1,1,1,2,1,"1"
2101202,1,1,2,1,1,1,3,1,1,1,1,2,1,"3"
2101211,2,2,2,1,1,1,1,3,1,1,1,1,2,"1"
2101212,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
2101222,1,1,2,1,1,2,4,1,1,1,1,2,1,"3"
2101231,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
2101232,2,2,2,1,3,3,4,3,1,2,2,2,2,"2"
2101233,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
2101243,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
2101251,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
2101255,2,1,2,1,1,1,1,1,1,1,1,1,1,"3"
2101263,1,2,2,2,1,1,2,1,1,1,1,1,1,"4"
3101023,1,1,2,1,1,1,3,1,1,1,1,2,1,"3"
3101033,1,2,2,3,1,2,1,1,2,1,1,1,1,"1"
3101041,2,2,2,1,1,1,5,1,1,1,1,2,1,"1"
3101043,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
3101061,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
3101062,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3101082,2,2,2,1,1,2,1,1,1,1,1,1,1,"4"
3101093,2,2,2,2,2,1,3,3,1,1,1,2,2,"1"
3101102,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3101111,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
3101113,1,1,1,1,1,1,3,1,1,1,1,2,1,"3"
3101131,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3101132,2,1,1,1,1,1,1,1,1,1,1,1,1,"3"
3101143,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
3101152,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
3101153,2,2,2,1,2,1,1,1,1,1,1,1,1,"4"
3101171,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3101183,1,2,2,1,1,3,3,2,1,1,2,2,1,"1"
3101191,2,2,2,1,1,2,3,1,1,1,1,2,1,"1"
3101192,2,2,2,1,1,1,1,3,1,1,1,1,2,"1"
3101202,1,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3101203,2,2,2,1,3,1,4,1,1,2,1,2,1,"1"
3101211,1,1,2,1,1,1,2,1,1,1,1,1,1,"3"
3101213,1,2,1,3,1,1,4,4,2,1,1,2,2,"1"
3101222,2,2,2,4,4,4,4,3,2,2,2,2,2,"2"
3101231,2,2,2,3,3,5,2,1,2,2,2,1,1,"2"
3101232,2,1,1,1,1,1,4,3,1,1,1,2,2,"1"
3101233,2,2,2,1,3,2,1,1,1,2,1,1,1,"4"
3101243,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
3301011,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
3301021,1,1,1,1,1,1,1,3,1,1,1,1,2,"3"
3301031,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301041,1,2,1,1,1,1,1,1,1,1,1,1,1,"4"
3301043,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
3301051,1,1,2,1,1,1,4,1,1,1,1,2,1,"3"
3301062,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301073,2,2,2,1,1,1,5,3,1,1,1,2,2,"1"
3301093,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301102,2,2,2,5,5,3,1,4,2,2,2,1,2,"2"
3301103,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301111,1,2,2,1,1,1,3,1,1,1,1,2,1,"1"
3301122,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301143,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
3301162,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301173,1,2,2,3,1,1,2,1,2,1,1,1,1,"1"
3301191,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
3301202,2,2,1,1,1,1,1,1,1,1,1,1,1,"4"
3301212,1,1,1,1,1,1,1,1,1,1,1,1,1,"3"
3301221,1,1,1,1,1,1,3,1,1,1,1,2,1,"3"
3301232,2,2,2,1,1,1,1,1,1,1,1,1,1,"4"
