"idencuesta","c11_w01","c11_w03","c43_w05","c08_02_w01","c08_02_w02","c08_02_w03","c08_02_w04","c08_02_w05","estrato_disenno","segmento_disenno","ponderador02_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_4"
1101011,1,2,2,1,1,1,1,1,4,110101,0.969473958015442,1,1,1,1,1,"1"
1101012,2,2,1,1,1,1,1,1,4,110101,0.484736979007721,1,1,1,1,1,"1"
1101013,1,1,1,2,2,3,1,1,4,110101,0.727105498313904,1,1,2,1,1,"3"
1101021,2,1,2,1,1,1,1,1,4,110102,1.25275468826294,1,1,1,1,1,"3"
1101023,2,1,2,2,1,1,3,3,4,110102,0.62637734413147,1,1,1,2,2,"4"
1101032,2,2,1,1,1,1,2,1,4,110103,0.888684511184692,1,1,1,1,1,"1"
1101033,1,1,1,1,1,1,1,1,4,110103,0.888684511184692,1,1,1,1,1,"3"
1101053,1,2,1,4,1,1,5,4,4,110105,0.888684511184692,2,1,1,2,2,"4"
1101081,2,2,2,1,1,1,1,1,4,110108,5.01101875305176,1,1,1,1,1,"1"
1101103,2,2,2,1,2,1,1,1,4,110110,1.43171954154968,1,1,1,1,1,"1"
1101132,1,1,1,1,1,1,1,1,4,110113,0.888684511184692,1,1,1,1,1,"3"
1101133,1,1,1,1,1,1,1,1,4,110113,1.11085557937622,1,1,1,1,1,"3"
1101151,1,2,2,1,1,4,3,1,4,110115,2.78389954566956,1,1,2,2,1,"4"
1101152,1,1,1,2,1,1,3,1,4,110115,1.99954009056091,1,1,1,2,1,"3"
1101153,2,2,2,2,1,1,1,1,4,110115,1.55519783496857,1,1,1,1,1,"1"
1101171,2,1,1,1,1,1,1,1,4,110117,0.626377284526825,1,1,1,1,1,"3"
1101173,1,2,2,2,1,1,4,4,4,110117,0.666513323783875,1,1,1,2,2,"4"
1107011,2,1,2,1,3,2,1,1,4,110701,0.874798834323883,1,2,1,1,1,"4"
1107012,2,1,2,1,2,1,1,1,4,110701,2.50550937652588,1,1,1,1,1,"3"
1107021,2,2,2,1,1,1,1,1,4,110702,1.46154701709747,1,1,1,1,1,"1"
1107082,2,2,2,1,1,1,1,1,4,110708,0.888684511184692,1,1,1,1,1,"1"
2101043,1,1,1,1,1,1,1,1,4,210104,2.47298836708069,1,1,1,1,1,"3"
2101062,1,1,2,1,1,1,1,1,4,210106,2.15101170539856,1,1,1,1,1,"3"
2101071,2,1,1,1,1,1,1,1,4,210107,3.66368651390076,1,1,1,1,1,"3"
2101072,1,1,1,1,1,1,1,1,4,210107,3.22651767730713,1,1,1,1,1,"3"
2101081,2,2,2,4,3,3,4,1,4,210108,2.15101170539856,2,2,2,2,1,"2"
2101082,1,2,1,1,1,1,1,1,4,210108,1.61325883865356,1,1,1,1,1,"1"
2101083,1,2,2,1,1,1,3,1,4,210108,3.22651767730713,1,1,1,2,1,"4"
2101092,1,2,2,3,3,2,1,1,4,210109,3.22651815414429,2,2,1,1,1,"4"
2101102,2,2,2,1,1,1,1,1,4,210110,1.09910595417023,1,1,1,1,1,"1"
2101113,1,1,2,1,1,1,1,1,4,210111,5.49552917480469,1,1,1,1,1,"3"
2101141,2,2,2,3,3,3,3,2,4,210114,1.4654746055603,2,2,2,2,1,"2"
2101142,2,2,2,3,1,3,1,1,4,210114,2.93094921112061,2,1,2,1,1,"4"
2101143,2,2,2,2,1,1,1,3,4,210114,3.66368651390076,1,1,1,1,2,"4"
2101151,2,2,2,3,2,2,5,2,4,210115,0.549552977085114,2,1,1,2,1,"4"
2101152,2,2,2,1,1,3,3,1,4,210115,0.274776488542557,1,1,2,2,1,"4"
2101162,2,2,2,1,1,1,1,1,4,210116,0.274776458740234,1,1,1,1,1,"1"
2101163,2,2,1,1,1,3,3,1,4,210116,0.806629419326782,1,1,2,2,1,"4"
2101172,2,2,2,1,1,1,1,1,4,210117,2.68876481056213,1,1,1,1,1,"1"
2101173,1,1,1,1,1,1,1,1,4,210117,1.07550597190857,1,1,1,1,1,"3"
2101181,1,1,1,1,1,1,1,1,4,210118,3.22651767730713,1,1,1,1,1,"3"
2101191,1,1,2,1,1,1,3,3,4,210119,2.19821166992188,1,1,1,2,2,"4"
2101192,2,1,2,1,1,3,3,1,4,210119,2.15101194381714,1,1,2,2,1,"4"
2101193,1,2,2,2,1,1,3,1,4,210119,1.61325883865356,1,1,1,2,1,"4"
2101202,1,1,2,1,1,1,3,1,4,210120,4.39642333984375,1,1,1,2,1,"3"
2101211,2,2,2,1,1,1,1,3,4,210121,1.81491637229919,1,1,1,1,2,"4"
2101212,1,1,1,1,1,1,1,1,4,210121,0.302486091852188,1,1,1,1,1,"3"
2101222,1,1,2,1,1,2,4,1,4,210122,1.20994436740875,1,1,1,2,1,"3"
2101231,2,2,1,1,1,1,1,1,4,210123,1.37388229370117,1,1,1,1,1,"1"
2101232,2,2,2,1,3,3,4,3,4,210123,0.136049062013626,1,2,2,2,2,"2"
2101233,1,2,2,1,1,1,1,1,4,210123,0.549552977085114,1,1,1,1,1,"1"
2101243,2,2,2,1,1,1,1,1,4,210124,4.83977651596069,1,1,1,1,1,"1"
2101251,2,2,1,1,1,1,1,1,4,210125,1.4654746055603,1,1,1,1,1,"1"
2101255,2,1,2,1,1,1,1,1,4,210125,0.537752985954285,1,1,1,1,1,"3"
2101263,1,2,2,2,1,1,2,1,4,210126,2.47298836708069,1,1,1,1,1,"1"
3101023,1,1,2,1,1,1,3,1,4,310102,1.39892542362213,1,1,1,2,1,"3"
3101033,1,2,2,3,1,2,1,1,4,310103,0.157379120588303,2,1,1,1,1,"4"
3101041,2,2,2,1,1,1,5,1,4,310104,0.419677585363388,1,1,1,2,1,"4"
3101043,2,2,1,1,1,1,1,1,4,310104,0.839355170726776,1,1,1,1,1,"1"
3101061,2,2,1,1,1,1,1,1,4,310106,0.419677585363388,1,1,1,1,1,"1"
3101062,1,2,2,1,1,1,1,1,4,310106,0.979247808456421,1,1,1,1,1,"1"
3101082,2,2,2,1,1,2,1,1,4,310108,0.270015567541122,1,1,1,1,1,"1"
3101093,2,2,2,2,2,1,3,3,4,310109,0.360020756721497,1,1,1,2,2,"4"
3101102,2,2,2,1,1,1,1,1,4,310110,0.419677585363388,1,1,1,1,1,"1"
3101111,2,2,1,1,1,1,1,1,4,310111,0.24001382291317,1,1,1,1,1,"1"
3101113,1,1,1,1,1,1,3,1,4,310111,0.960055291652679,1,1,1,2,1,"3"
3101131,2,2,2,1,1,1,1,1,4,310113,0.960055291652679,1,1,1,1,1,"1"
3101132,2,1,1,1,1,1,1,1,4,310113,0.279785096645355,1,1,1,1,1,"3"
3101143,1,1,1,1,1,1,1,1,4,310114,0.550826847553253,1,1,1,1,1,"3"
3101152,1,1,1,1,1,1,1,1,4,310115,0.393447756767273,1,1,1,1,1,"3"
3101153,2,2,2,1,2,1,1,1,4,310115,0.236068680882454,1,1,1,1,1,"1"
3101171,2,2,2,1,1,1,1,1,4,310117,0.157379105687141,1,1,1,1,1,"1"
3101183,1,2,2,1,1,3,3,2,4,310118,2.1601243019104,1,1,2,2,1,"4"
3101191,2,2,2,1,1,2,3,1,4,310119,0.26229852437973,1,1,1,2,1,"4"
3101192,2,2,2,1,1,1,1,3,4,310119,0.104919418692589,1,1,1,1,2,"4"
3101202,1,2,2,1,1,1,1,1,4,310120,1.20006906986237,1,1,1,1,1,"1"
3101203,2,2,2,1,3,1,4,1,4,310120,0.279785066843033,1,2,1,2,1,"4"
3101211,1,1,2,1,1,1,2,1,4,310121,0.559570133686066,1,1,1,1,1,"3"
3101213,1,2,1,3,1,1,4,4,4,310121,0.279785066843033,2,1,1,2,2,"4"
3101222,2,2,2,4,4,4,4,3,4,310122,2.40013837814331,2,2,2,2,2,"2"
3101231,2,2,2,3,3,5,2,1,4,310123,0.839355051517487,2,2,2,1,1,"2"
3101232,2,1,1,1,1,1,4,3,4,310123,0.419677525758743,1,1,1,2,2,"4"
3101233,2,2,2,1,3,2,1,1,4,310123,0.48002764582634,1,2,1,1,1,"1"
3101243,1,1,1,1,1,1,1,1,4,310124,0.839355170726776,1,1,1,1,1,"3"
3301011,1,1,1,1,1,1,1,1,5,330101,0.122000627219677,1,1,1,1,1,"3"
3301021,1,1,1,1,1,1,1,3,5,330102,0.325335055589676,1,1,1,1,2,"3"
3301031,2,2,2,1,1,1,1,1,5,330103,0.0237027686089277,1,1,1,1,1,"1"
3301041,1,2,1,1,1,1,1,1,5,330104,0.0632073953747749,1,1,1,1,1,"1"
3301043,2,2,1,1,1,1,1,1,5,330104,0.0632073953747749,1,1,1,1,1,"1"
3301051,1,1,2,1,1,1,4,1,5,330105,0.189622178673744,1,1,1,2,1,"3"
3301062,2,2,2,1,1,1,1,1,5,330106,0.316036969423294,1,1,1,1,1,"1"
3301073,2,2,2,1,1,1,5,3,5,330107,0.0632073953747749,1,1,1,2,2,"4"
3301093,2,2,2,1,1,1,1,1,5,330109,0.189622148871422,1,1,1,1,1,"1"
3301102,2,2,2,5,5,3,1,4,5,330110,0.325335055589676,2,2,2,1,2,"2"
3301103,2,2,2,1,1,1,1,1,5,330110,0.12641479074955,1,1,1,1,1,"1"
3301111,1,2,2,1,1,1,3,1,5,330111,0.12641479074955,1,1,1,2,1,"4"
3301122,2,2,2,1,1,1,1,1,5,330112,0.0813337489962578,1,1,1,1,1,"1"
3301143,2,2,1,1,1,1,1,1,5,330114,0.47405543923378,1,1,1,1,1,"1"
3301162,2,2,2,1,1,1,1,1,5,330116,0.325334995985031,1,1,1,1,1,"1"
3301173,1,2,2,3,1,1,2,1,5,330117,0.0474055372178555,2,1,1,1,1,"4"
3301191,2,2,2,1,1,1,1,1,5,330119,0.0474055446684361,1,1,1,1,1,"1"
3301202,2,2,1,1,1,1,1,1,5,330120,0.542225062847137,1,1,1,1,1,"1"
3301212,1,1,1,1,1,1,1,1,5,330121,0.0711083114147186,1,1,1,1,1,"3"
3301221,1,1,1,1,1,1,3,1,5,330122,0.189622178673744,1,1,1,2,1,"3"
3301232,2,2,2,1,1,1,1,1,5,330123,0.0355541557073593,1,1,1,1,1,"1"
3301233,2,2,2,1,1,1,1,1,5,330123,0.0610003136098385,1,1,1,1,1,"1"
3301241,2,2,2,1,2,1,2,1,5,330124,0.158018469810486,1,1,1,1,1,"1"
3301252,2,2,2,1,1,1,1,1,5,330125,0.023702772334218,1,1,1,1,1,"1"
3301253,2,1,2,1,1,2,1,1,5,330125,0.101667210459709,1,1,1,1,1,"3"
4101021,2,2,2,1,1,1,3,1,4,410102,0.917060375213623,1,1,1,2,1,"4"
