"idencuesta","c11_w01","c11_w03","c43_w05","c08_01_w01","c08_02_w01","c08_03_w01","c08_04_w01","c08_01_w02","c08_02_w02","c08_03_w02","c08_04_w02","c08_01_w03","c08_02_w03","c08_03_w03","c08_04_w03","c08_01_w04","c08_02_w04","c08_03_w04","c08_04_w04","c08_05_w04","c08_02_w05","c08_04_w05","c08_05_w05","par_mov_w01","par_mov_w02","par_mov_w03","par_mov_w04","par_mov_w05","class_part_3","class_part_4","class_part_5"
1101011,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,1,1,2,"2","2","1"
1101012,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","2","4"
1101013,2,2,2,2,2,4,3,3,2,2,1,3,3,3,3,1,1,1,1,2,1,1,1,2,1,1,1,1,"1","4","5"
1101021,1,2,1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,"1","2","1"
1101023,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,3,3,1,1,3,3,1,3,1,1,1,1,1,"1","2","4"
1101032,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1,1,1,2,1,"2","2","1"
1101033,2,2,2,3,1,1,4,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,1,2,1,1,1,1,"1","4","5"
1101053,2,1,2,3,4,4,5,1,1,2,1,3,1,1,1,3,5,1,5,5,4,4,3,2,1,1,2,2,"3","1","1"
1101081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,"2","2","4"
1101103,1,1,1,4,1,2,5,2,2,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,"2","2","1"
1101132,2,2,2,3,1,3,3,2,1,1,4,1,1,1,3,1,1,1,4,1,1,3,2,1,2,1,2,1,"1","3","5"
1101133,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
1101151,2,1,1,2,1,3,4,2,1,1,1,3,4,1,2,3,3,1,3,3,1,3,3,2,1,2,1,1,"3","1","1"
1101152,2,2,2,3,2,3,2,2,1,1,1,1,1,1,3,1,3,1,3,3,1,3,1,1,1,1,1,1,"1","4","5"
1101153,1,1,1,2,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,"2","2","1"
1101171,1,2,2,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
1101173,2,1,1,2,2,3,4,1,1,1,1,2,1,1,1,4,4,4,4,4,4,4,4,2,1,1,2,2,"3","1","3"
1107011,1,2,1,3,1,2,3,4,3,4,4,2,2,1,1,1,1,1,2,2,1,3,2,1,2,1,1,1,"1","2","1"
1107012,1,2,1,1,1,1,1,3,2,2,1,1,1,2,3,1,1,1,4,3,1,2,1,1,1,1,2,1,"1","2","2"
1107021,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,"2","2","4"
1107082,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,"2","2","4"
2101043,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,"1","4","5"
2101062,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
2101071,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
2101072,2,2,2,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","4","5"
2101081,1,1,1,3,4,4,5,1,3,3,3,2,3,3,5,4,4,4,4,4,1,5,5,2,1,2,2,2,"3","1","3"
